,City Name,Facility gym,Latitude,Longitude,Rating,Site Name,Total Count
240,Chicago,Symmetry Chicago,41.91,-87.64,5,Lincoln Yards,20
241,Chicago,Wicker Park Athletic Club,41.91,-87.64,3.9,Lincoln Yards,20
242,Chicago,Lincoln Park Athletic Club,41.91,-87.64,4.5,Lincoln Yards,20
243,Chicago,Lincoln Park Fitness Center,41.91,-87.64,4.7,Lincoln Yards,20
244,Chicago,ENRGi Fitness,41.91,-87.64,4.8,Lincoln Yards,20
245,Chicago,HiFi Personal Fitness,41.91,-87.64,4.8,Lincoln Yards,20
246,Chicago,Hustle Fitness™,41.91,-87.64,5,Lincoln Yards,20
247,Chicago,River North CrossFit,41.91,-87.64,4.8,Lincoln Yards,20
248,Chicago,Atlas Performance and CrossFit,41.91,-87.64,4.7,Lincoln Yards,20
249,Chicago,LA Fitness,41.91,-87.64,3.2,Lincoln Yards,20
250,Chicago,Planet Fitness,41.89,-87.64,4.1,The River District,20
251,Chicago,UFC Gym River North,41.89,-87.64,4.8,The River District,20
252,Chicago,River North Gym at the MART,41.89,-87.64,4.7,The River District,20
253,Chicago,POW! Gym Chicago,41.89,-87.64,5,The River District,20
254,Chicago,Coöp Gym,41.89,-87.64,3.8,The River District,20
255,Chicago,FIT RESULTS - South Loop Gym,41.89,-87.64,5,The River District,20
256,Chicago,Equinox The Loop,41.89,-87.64,3.9,The River District,20
257,Chicago,Equinox Gold Coast,41.89,-87.64,4.4,The River District,20
258,Chicago,Lakeshore Sport & Fitness Illinois Center,41.89,-87.64,4.5,The River District,20
259,Chicago,TITLE Boxing Club Chicago West Loop,41.89,-87.64,4.7,The River District,20
260,Chicago,The Foundry - Union Station CrossFit,41.89,-87.64,5,The River District,20
261,Chicago,Wells Street CrossFit,41.89,-87.64,5,The River District,20
262,Chicago,Solheim Gym,41.89,-87.64,NAN,The River District,20
263,Chicago,Orangetheory Fitness,41.89,-87.64,4.5,The River District,20
264,Chicago,FFC Gold Coast,41.89,-87.64,4.2,The River District,20
265,Chicago,South Loop Strength & Conditioning - Home of South Loop CrossFit,41.89,-87.64,4.9,The River District,20
266,Chicago,CrossFit CE,41.89,-87.64,5,The River District,20
